rating,label,review,length
5,genuine,"This is a great little flash. I haven't had any problems with overheating or failed writes. I copied a 60GB folder and it copied all the way through with no errors. Then I copied a set of folders with a combined size of 30GB, also with no error. The drive gets a little warm during heavy writing, but all flashdrives get warm when they're working. You can feel the heat with this one because it's so small, but it's nothing to worry about. Overall, very satisfied.",86
5,genuine,"The CE Compass Cover for Kindle 3 is made of
high density vinyl/plastic. The cover is well crafted
and well designed. It effectively protects the
Kindle 3 from scratches. Should you drop the Kindle,
this cover would cushion the fall very effectively.
All buttons on the Kindle are easily accessible.
The cover is easy to open, easy to hold, easy to close.
I am very pleased with my purchase.",69
5,genuine,Still holding up after a year with a tough chewer.,10
5,fake,"Well made sweater for dog, looks cute and the materials are good.  My dog loves this sweater",17
4,genuine,the cherry cruiser is nice edition for the townhouse and the critters. i loved it and my little niece.,19
5,genuine,this highchair I perfect. was easy to put together and was the best Christmas gift my granddaughters received. The are nice heavy wood chairs. also arrived quickly and appreciate the service I received. LOVED LOVED LOVED the highchairs.,38
5,fake,"When we got these I noticed a difference in the resistance of the bands.  I was surprised to find that the bands were much more solid and the resistance was much more noticeable.  The bands are made of a material that is thin and can be easily exposed to the elements.  I haven't used them with a rain jacket, but they are very well constructed and well",67
5,genuine,"When it comes to B-movies, Bloodsucking Freaks is ranked right up there with the best of them. What more could you want from a film? It has sex, violence, lots of nudity, and a crazed afro-wearing midget. Don't let the title fool you though. This movie has nothing to do with vampires, in fact except for one great scene, there really isn't much bloodsucking at all. The scene I speak of is the 'doctor' and his 'operation'. A beautiful nude blonde is strapped to a chair. First the doc pulls all her teeth out with a pair of pliers (this is to ensure she doesn't bite). Then he shaves the top of her head, drills a hole through the center of her skull, inserts a tube and sucks out the blood and gray matter. Fascinating.

There are so many scenes in this movie it is difficult to describe them all. The spanking guillotine scene is a favorite of mine, espescially what the midget does with the head after he takes it out of the basket. The midget is one weird little dude, he has a craving for human eyes, always wins at backgammon (another great scene) and is a hell of a little cymbal player.

The plot for this flick is pretty simple. A weird dude operates an S&M torture show in New York. This is a front for his white slavery business. When he's not performing with his cast, he simply tortures whoever is available. He has a cage of cannibalistic wenches that he keeps locked up too. They are good for disposing of any unwanted snoops.

Even the cop who finally busts him gets eaten. There are no winners here, good guys and bad guys die alike. Well the cannibal women do get free and eat their master, so I guess that's good. The final scene before the 'THE END' pops up is hilarious. You'll never eat a hot dog again without thinking of 'Bloodsucking Freaks'.

So enjoy this movie for what it is. I do.",338
5,genuine,Three Days of the Condor and  Sneakers gave us an early preview of what we're reading in the headlines. These films would make a great double feature in the family room for adults.,33
5,fake,Adorable giraffe rocker. My granddaughter loves it and she loves it too.,12
1,genuine,"I am a first time owner. I read that it is best to feed a puppy higher quality foods instead of the big commercial brands.  After reading a lot of positive reviews, I decided to try Wellness Super5 for Puppies. Worst mistake I ever made.  My little bully's stool was never firm.  It did however make his coat very shiny. But he developed a very bad case of diarrhea. He stopped eating and drinking for a day.  I was so worried about the lil guy. After an overnight stay (& a very expensive vet bill), my lil bully returned home full of energy.  The vet recommened that he would have to eat canned Purina EN for the rest of his life.  Realizing that they really just wanted my money, I decided to switch his food.  I decided to go with Canadae ALS. During the transition, BlackJack was still having a loose stool. After more research, I finally decided on Cal Natural Lamb & Rice. I started mixing this food and BJ developed a very bad bloody diarrhea case.  I started the ""at home remedy"" of pepto bismol and a bland diet.  The pet store clerk recommended some canned pumpkin as well.  BJ fasted for 24 hours.  After feeding him boiled chicken & rice for a few days, the blood gradually disappeared. I slowly started mixing the Cal Natural Lamb & Rice. All i can say is BJ is feeling 100% better and his stool is solid!!!  This was the result I wanted with Wellness, but I was very disappointed.

IF YOU WANT A HEALTHY PET AND A FEW BUCKS SAVED FROM A VET VISIT, PLEASE STAY AWAY FROM THIS FOOD!",280
4,fake,This device works well and looks great.  It is very sturdy and easy to use.  It is so easy to,20
5,genuine,"nice that you can separate it into two units.  I used the 4 only, not enough room on my receiver for the full six.  Secured it with a heavy duty double stick Velcro pad.",34
4,fake,These are the most affordable and effective treatments for dogs. I will continue to use this as long as I,20
4,genuine,my 3 yr old loves giving her baby a bath in this adorable doll tub,15
5,genuine,The most comfortable pair of shoes I've ever owned! Ugly as sin in my opinion but they are a summer must have when you need something other than a flip flop to put on,34
4,fake,The Secret Garden is a quick read and the characters are well written. There is a strong female lead and an interesting plot. I liked how the main female was a bit of a go-between. I look forward to reading more from this author.I really enjoyed this book. The characters were strong and likable. I found myself rooting for the main character to overcome her past issues. I was rooting for the story to keep going,76
5,genuine,all the carts I got where well worth the money I paidi for them,14
2,fake,Great in theory but when it comes to the materials it is a lot thinner than I expected.,18
5,genuine,"These are the lightest, most breathable and comfortable running shorts that I have found. I have several pair and they are my go to summer training and events. Perfect fit, breathable, lightweight and they hold up really well. The single, zip rear pocket is all that I need for a key or fob. They will do better if you follow the Zoot care instructions, basically wash gently and let air dry. The length is also just right, not too high and tight but not knee length either. These have been great for my long, humid summer training runs.",98
5,genuine,Cute doll - looked a lot like the character from the movie. My daughter really likes it and LOVES the movie!,21
5,genuine,I loved the whole set!  Great reading!  Finished all seven books within a week!!!!  Need more immediately please!  Thank you!!!,20
3,fake,Others have noted the startling similarities between the characters and their personalities.  There is a strong connection between them and the story is well written.  The characters are well developed and the plot is well developed.  It was a very enjoyable read.This is a good story. The characters are well developed. The story is well written. The story is good. I received this book in exchange for an honest review.This book was pretty good.  I like a good quick read.  I have read other books by this author.  I loved this one.  I just couldn't get into it.  I would have liked to have been able to read it without having to go to the other books.,117
5,genuine,"Bought this since I needed a worklight that could run off batteries.  The unit is quite large and reasonably well built.  It gives off good enough light - not particularly very bright but bright enough to illuminate dim areas where ambient light will be available.  One thing to keep in mind that LEDs that are too bright can be a hindrance since they can be blinding reflecting off surfaces inches away where you're likely to use this thing.  Therefore this wouldn't be a great ""lantern"" in the event of a power outage, but instead provides balanced light in tight spots.  It does bend as well so can direct light optimally as you need it.  With the price in mind it's an excellent value worth every penny.",126
5,genuine,This are great! I've been looking for large plastic cup but I haven't been able to find them in the store. This are just what I've been looking for.,29
3,fake,It's ok for what i needed it for.  I've had it for a couple of years,16
5,genuine,"My fur babies couldn't wait to jump on their new tower. The unit is well made, came assembled, and is very sturdy.  I just bought another one.",27
5,fake,"Bought this for my 4 year old granddaughter. She loves it. She also loves the music and the colors. Great for the kids, too. My daughter is 4 and it is pretty easy",33
4,genuine,I have used this twice and so far so good!,10
5,genuine,"Great shoes, as expected, as ordered. Not much by way of traction or support, but that's not what I'm looking for - I'm looking for something casual and flexible (not literally, but... that too). These will last me somewhere between 6 and 12 months, which is fair for the miles I will put on them.",55
5,fake,"I ordered this pack, approximately, 2.5lbs, which is about as big as I could carry. I had to adjust the straps, but it is okay. This pack is very large and it is well made. It is a perfect size for my size 7.5-8.5 hips. It is very comfortable to wear, and the fact that it is a little heavier than I expected is great. I have not used it for any activity yet, but I will update if I do.

The pack is very sturdy, and the handle is very well built. It has a nice, high quality strap that is very easy to attach and remove. The sleeve is very comfortable and I like that it does not have any pockets for my phone, which is a plus.

I am also very happy with the sizing of the pack, as I am very confident that this will be a very good fit for me. I am a tall woman, and I am normally 5'6"", about 200 lbs.

I received this product at a discount in exchange for an honest review.

Disclosure: I received this product at a discount in exchange for an honest review. All opinions are my own.I'm a fan of this product.  I received it for free in exchange for an honest review.This is a good product.",221
5,fake,"This trilogy is one of the best I've read in a long time, and I'm just starting to get into the series. The characters are complex, and the plots are very interesting.",32
5,fake,"It's a shame that with this book, the movie version of it was also a disappointment.  The story is not very good.  There are some things you can't help but care about.  A little romance in the end, but no real depth or depth to the story.  I felt like the book was going to be a bit over the top with a lot of sex.  I would recommend it to anyone who enjoys sex.I enjoyed this book, very much.  I have read all of the books by Will Eisner, and I was quite impressed with them all.  The book is short, and doesn't have a lot of action, but it is a good read for those who love a good mystery.  It's not a story of how it all started, but it's a great read.This is a book about a teen in the 60's.  It is a perfect addition to any library of books that you read.  I bought it for my grandson and he liked it.  I'm always looking for more of this type of books.  I would recommend this book to anyone.  The characters are well developed and the plot is well written.",196
4,genuine,"It works as advertised, so far (about 3 months) no problem.  I cover the screen while driving because it can be a distraction.  Once set, the camera comes on and records without any operator input, set and forget.",38
4,fake,"Entering the theater today I saw a movie with the same name.  This is a movie that is a little too old for the age of the video, but it is a very entertaining movie.  I would highly recommend this movie to anyone who wants to watch an old-fashioned adventure movie.  It is a must see for any movie lover.I didn't think this was going to be a great movie.  I was expecting more.  I expected a good, thoughtful story that could have been told about a very interesting subject.  I'm not sure why I was so disappointed.  The acting was okay, but the story was not convincing.  The movie had a lot of clichs and was a bit too ""raw"".  I don't think I've ever seen a movie with a good story, but this movie didn't seem to be that bad.  I don't really know what the problem was with the movie.  I was hoping to see more of the ""real"" version of the movie.  I guess it was supposed to be a story about a real person.  It seemed like it was going to be about a couple of men who get into a gang of robbers in a beautiful city.  It was a bit cheesy at times but it was a good story that could have been told about a guy who is a pretty good actor.",230
5,genuine,So far a good and durable product. Offers a clear unobstructed view and fit well.,15
5,genuine,This set works perfectly with our new RTIC 30-ounce mug.  Everything is there if we need it.,17
5,fake,Blazing fast shipping and the quality of the product. Very good quality. Nice bag.,14
5,fake,I added this knife or some other item to my AR-15.  The knife came with a self-inflating plastic blade. ,19
5,genuine,Cute. Used them as favor bags at a zoo party. Very happy I found them.,15
5,genuine,"Took a while to get used to the mouthpiece, but I now really like not having to open a lid to get to the water, and don't need to worry about a nozzle flipping open.  I was also worried that the design might be hard to clean, but I'm not having any problems keeping it clean.",56
3,genuine,"Not the best of chordage I have used, but it is adequate",12
5,genuine,"I'm in my 70s, so bike shorts are not becoming. Neither are these but they are otherwise wonderful to wear for bike rides. I ordered 2 pairs. And the ""comfort crotch"" is good for the sit bones. I would purchase them again.",42
5,fake,I got this for my dog. It's a good size and my dog loves it. It's not the best for a small dog but the dog loves it.,28
5,fake,Great purchase came in a timely manner and the box was sealed properly. My son loves this toy.,18
5,fake,"This was a great book, and I couldn't put it down.  This is the first book I've read by this author",21
5,genuine,I installed this LED light strip under the kitchen cabinet. Looks really cool and provides a nice glow.,18
5,genuine,This is a very powerful and strong little holder!  Garmin does it again! It doesn't shift or loosen with use or when manipulating the GPS.  It's the bomb-diggity! Not to mention that it literally costs pennies!  How can you  not love that! (smile) Enjoy!,44
3,fake,What happens at dog shows and an amazing story about a dog who becomes a great friend to the other dogs. Great job! I look forward to the next book in this series.,33
4,fake,"""The Love Deception"" by Jennifer Merrick

""The Love Deception"" is the third book in the series.  The first book was a bit different than the first two, but that's part of the reason I gave it 3 stars.  This book is still one of my favorite series.  I liked the characters and the storyline.  I liked the story line and the setting.  It had a good feel for the story.  I like that the main characters have strong personalities.  I liked how the story progressed.  I'm not sure why I gave it 3 stars.  I liked the pace.  The characters are well developed.  It's a fun read.I have read this author before and she is not disappointed. It is an awesome read and I was able to read it in one sitting. I was so happy to see that this book was on my to read list. I am so glad I read this book. I can't wait to see how it ends. I am looking forward to reading more from this author.I received this book in exchange for an honest review.

I have been waiting for a book I can",191
1,fake,"98-precent of this book is that it is an interesting and well written book that is well written and well plotted. The plot is interesting, but the characters are not the same. I would recommend it to anyone who likes to travel in a travelogue. This book is excellent. The authors have a very good sense of humor and are able to convey the reality of a situation.",68
3,fake,"I understand the author had some financial problems with the book but it was also a very interesting one. I read this book in the middle of the night, and it was great. The story was well told and the characters were strong. I would recommend this to anyone who enjoys the paranormal. I loved this book!  I love the fact that it is a mystery/suspense series. This book is a must read for any paranormal fan!I couldn't put this book down. I loved it. I loved the character. I loved the action. I loved the ending. I loved the characters. I loved the story. I loved the twists and turns. I loved the mystery. I loved the mystery. I loved the twists and turns. I loved the ending. I loved the story. I loved the story.",137
