review_text,label,rating,source,combined_text
earn money fast and win exciting prizes!!!!!!,1,3,clean,earn money fast and win exciting prizes!!!!!! rating 3
visit this link to get this product now!!!,1,3,clean,visit this link to get this product now!!! rating 3
"This laptop is okay, it works well.",0,4,clean,"This laptop is okay, it works well.. Rating: 4"
"THIS LAPTOP IS OKAY, IT STOPPED WORKING. THIS LAPTOP IS OKAY, IT STOPPED WORKING.",0,4,clean,"THIS LAPTOP IS OKAY, IT STOPPED WORKING. THIS LAPTOP IS OKAY, IT STOPPED WORKING."
I bought this camera recently and it stopped working.!!!,0,2,clean,I bought this camera recently and it stopped working.!!! rating 2
earn money fast to get this product now!!!,1,2,clean,earn money fast to get this product now!!!
I BOUGHT THIS CAMERA RECENTLY AND IT GOOD QUALITY. I BOUGHT THIS CAMERA RECENTLY AND IT GOOD QUALITY.!!!,0,3,clean,I BOUGHT THIS CAMERA RECENTLY AND IT GOOD QUALITY. I BOUGHT THIS CAMERA RECENTLY AND IT GOOD QUALITY.!!!
I can't believe how amazing this headphones is!!! TOP QUALITY GUARANTEED!!! I can't believe how amazing this headphones is!!! TOP QUALITY GUARANTEED!!!,1,3,clean,I can't believe how amazing this headphones is!!! TOP QUALITY GUARANTEED!!! I can't believe how amazing this headphones is!!! TOP QUALITY GUARANTEED!!!
Product arrived damaged but customer service fixed it quick,0,3,clean,Product arrived damaged but customer service fixed it quick rating 3
LIFE CHANGING!!! EVERYONE SHOULD BUY THIS CAMERA!!! LIFE CHANGING!!! EVERYONE SHOULD BUY THIS CAMERA!!!,1,4,clean,LIFE CHANGING!!! EVERYONE SHOULD BUY THIS CAMERA!!! LIFE CHANGING!!! EVERYONE SHOULD BUY THIS CAMERA!!! rating 4
BEST PRODUCT EVER!!! Everyone should buy this watch!!! BEST PRODUCT EVER!!! Everyone should buy this watch!!!!!!,1,2,clean,BEST PRODUCT EVER!!! Everyone should buy this watch!!! BEST PRODUCT EVER!!! Everyone should buy this watch!!!!!!
I can't believe how amazing this headphones is!!! BEST PRODUCT EVER!!!!!!,1,3,clean,I can't believe how amazing this headphones is!!! BEST PRODUCT EVER!!!!!!
"This phone is okay, it poor quality.",0,2,clean,"This phone is okay, it poor quality."
I bought this laptop recently and it satisfied with the purchase.,0,3,clean,I bought this laptop recently and it satisfied with the purchase.
"THIS HEADPHONES IS OKAY, IT DISAPPOINTED.",0,5,clean,"THIS HEADPHONES IS OKAY, IT DISAPPOINTED. rating 5"
"This laptop is okay, it good quality.!!!",0,4,clean,"This laptop is okay, it good quality.!!!. Rating: 4"
Response time is quick.,0,5,clean,Response time is quick.
