review,label,rating
This phone is MUST BUY!!! This phone is MUST BUY!!!,fake,5
I bought this camera recently and it stopped working.,genuine,1
THIS LAPTOP IS LIFE CHANGING!!!,fake,5
THIS HEADPHONES IS UNBELIEVABLE!!!,fake,5
click here now to get this product now!!!!!!,fake,5
"This camera is okay, it not great.",genuine,3
The watch good quality.!!!,genuine,4
LIMITED OFFER!!! LIMITED TIME OFFER!!! LIMITED OFFER!!! LIMITED TIME OFFER!!!!!!,fake,3
I can't believe how amazing this headphones is!!! TOP QUALITY GUARANTEED!!!,fake,5
I bought this headphones recently and it good quality.!!!,genuine,4
The laptop not worth it.,genuine,1
"This phone is okay, it works well.",genuine,3
CAMERA IS MUST BUY!!! DON'T MISS OUT!!!!!!,fake,5
I can't believe how amazing this phone is!!! UNBELIEVABLE!!!!!!,fake,5
This watch is MUST BUY!!!,fake,5
LAPTOP IS TOP QUALITY GUARANTEED!!! DON'T MISS OUT!!! LAPTOP IS TOP QUALITY GUARANTEED!!! DON'T MISS OUT!!!,fake,5
LIMITED OFFER!!! LIMITED TIME OFFER!!!,fake,3
The laptop not great.,genuine,2
This headphones is LIFE CHANGING!!!,fake,5
I bought this phone recently and it good quality.,genuine,4
I bought this headphones recently and it disappointed.,genuine,2
I CAN'T BELIEVE HOW AMAZING THIS CAMERA IS!!! LIFE CHANGING!!!!!!,fake,5
"After using this headphones, I feel it not great.",genuine,2
PHONE IS LIFE CHANGING!!! DON'T MISS OUT!!!,fake,5
The headphones not great. The headphones not great.,genuine,2
LIFE CHANGING!!! Everyone should buy this watch!!! LIFE CHANGING!!! Everyone should buy this watch!!!,fake,5
I can't believe how amazing this camera is!!! MUST BUY!!!,fake,5
"AFTER USING THIS PHONE, I FEEL IT NOT WORTH IT.",genuine,1
The watch good quality.,genuine,4
I bought this watch recently and it good quality.,genuine,4
"After using this headphones, I feel it not worth it.",genuine,2
I bought this camera recently and it not worth it.,genuine,1
I bought this watch recently and it does the job.,genuine,3
earn money fast to get this product now!!!,fake,5
THIS LAPTOP IS BEST PRODUCT EVER!!!!!!,fake,5
The camera poor quality.,genuine,1
I can't believe how amazing this headphones is!!! BEST PRODUCT EVER!!! I can't believe how amazing this headphones is!!! BEST PRODUCT EVER!!!!!!,fake,5
I can't believe how amazing this headphones is!!! UNBELIEVABLE!!!,fake,5
TOP QUALITY GUARANTEED!!! Everyone should buy this headphones!!! TOP QUALITY GUARANTEED!!! Everyone should buy this headphones!!!,fake,5
This watch is LIFE CHANGING!!!,fake,5
"After using this camera, I feel it stopped working.",genuine,1
"This headphones is okay, it good quality.",genuine,3
This phone is BEST PRODUCT EVER!!!,fake,5
EARN MONEY FAST TO GET THIS PRODUCT NOW!!!,fake,5
This phone is MUST BUY!!!,fake,5
I bought this headphones recently and it does the job.,genuine,3
I bought this watch recently and it not great.,genuine,2
LIMITED OFFER!!! LIMITED TIME OFFER!!! LIMITED OFFER!!! LIMITED TIME OFFER!!!,fake,3
EARN MONEY FAST!!! LIMITED TIME OFFER!!!,fake,3
This watch is LIFE CHANGING!!!,fake,5
limited offer to get this product now!!! limited offer to get this product now!!!!!!,fake,3
buy now before it's gone and win exciting prizes!!!,fake,5
CLICK HERE NOW!!! LIMITED TIME OFFER!!!,fake,3
"AFTER USING THIS PHONE, I FEEL IT WORTH THE PRICE. AFTER USING THIS PHONE, I FEEL IT WORTH THE PRICE.",genuine,4
THIS CAMERA IS MUST BUY!!!!!!,fake,5
click here now for huge discounts!!!,fake,3
buy now before it's gone to get this product now!!! buy now before it's gone to get this product now!!!,fake,5
"This laptop is okay, it stopped working.!!!",genuine,2
"After using this laptop, I feel it poor quality. After using this laptop, I feel it poor quality.",genuine,1
I CAN'T BELIEVE HOW AMAZING THIS HEADPHONES IS!!! UNBELIEVABLE!!!!!!,fake,5
This laptop is TOP QUALITY GUARANTEED!!! This laptop is TOP QUALITY GUARANTEED!!!,fake,5
TOP QUALITY GUARANTEED!!! Everyone should buy this headphones!!!!!!,fake,5
"This phone is okay, it satisfied with the purchase. This phone is okay, it satisfied with the purchase.",genuine,3
The watch does the job.,genuine,3
This camera is MUST BUY!!!,fake,5
"After using this laptop, I feel it not worth it.",genuine,2
MUST BUY!!! Everyone should buy this laptop!!!,fake,5
I bought this watch recently and it not great.!!!,genuine,2
HEADPHONES IS MUST BUY!!! DON'T MISS OUT!!!,fake,5
"AFTER USING THIS HEADPHONES, I FEEL IT STOPPED WORKING.",genuine,1
I can't believe how amazing this laptop is!!! UNBELIEVABLE!!!,fake,5
I CAN'T BELIEVE HOW AMAZING THIS WATCH IS!!! TOP QUALITY GUARANTEED!!!,fake,5
MUST BUY!!! Everyone should buy this camera!!!,fake,5
PHONE IS UNBELIEVABLE!!! DON'T MISS OUT!!!!!!,fake,5
TOP QUALITY GUARANTEED!!! EVERYONE SHOULD BUY THIS LAPTOP!!! TOP QUALITY GUARANTEED!!! EVERYONE SHOULD BUY THIS LAPTOP!!!,fake,5
"AFTER USING THIS WATCH, I FEEL IT NOT GREAT.!!!",genuine,1
UNBELIEVABLE!!! Everyone should buy this laptop!!! UNBELIEVABLE!!! Everyone should buy this laptop!!!,fake,5
LIFE CHANGING!!! EVERYONE SHOULD BUY THIS HEADPHONES!!!,fake,5
"This phone is okay, it poor quality.",genuine,2
"After using this phone, I feel it disappointed. After using this phone, I feel it disappointed.",genuine,1
This phone is BEST PRODUCT EVER!!!!!!,fake,5
VISIT THIS LINK!!! LIMITED TIME OFFER!!! VISIT THIS LINK!!! LIMITED TIME OFFER!!!,fake,3
I can't believe how amazing this headphones is!!! UNBELIEVABLE!!!,fake,5
This headphones is TOP QUALITY GUARANTEED!!! This headphones is TOP QUALITY GUARANTEED!!!,fake,5
visit this link to get this product now!!!,fake,3
I can't believe how amazing this phone is!!! LIFE CHANGING!!! I can't believe how amazing this phone is!!! LIFE CHANGING!!!!!!,fake,5
THE CAMERA DOES THE JOB.,genuine,3
"After using this camera, I feel it worth the price.!!!",genuine,4
"THIS HEADPHONES IS OKAY, IT WORTH THE PRICE. THIS HEADPHONES IS OKAY, IT WORTH THE PRICE.",genuine,3
"AFTER USING THIS CAMERA, I FEEL IT STOPPED WORKING. AFTER USING THIS CAMERA, I FEEL IT STOPPED WORKING.",genuine,1
"This headphones is okay, it works well. This headphones is okay, it works well.!!!",genuine,3
I bought this headphones recently and it stopped working. I bought this headphones recently and it stopped working.!!!,genuine,1
I bought this phone recently and it satisfied with the purchase.!!!,genuine,4
MUST BUY!!! EVERYONE SHOULD BUY THIS PHONE!!!,fake,5
BEST PRODUCT EVER!!! Everyone should buy this laptop!!!!!!,fake,5
EARN MONEY FAST AND WIN EXCITING PRIZES!!!,fake,5
TOP QUALITY GUARANTEED!!! Everyone should buy this laptop!!! TOP QUALITY GUARANTEED!!! Everyone should buy this laptop!!!,fake,5
I bought this phone recently and it good quality. I bought this phone recently and it good quality.,genuine,4
BUY NOW BEFORE IT'S GONE FOR HUGE DISCOUNTS!!!!!!,fake,5
BUY NOW BEFORE IT'S GONE TO GET THIS PRODUCT NOW!!! BUY NOW BEFORE IT'S GONE TO GET THIS PRODUCT NOW!!!,fake,5
